ds,yhat,yhat_lower,yhat_upper
2007-08-06,99.31675400320766,91.60404843447179,108.6991573868667
2007-08-13,99.2374175210819,91.29085216528158,107.65980547107915
2007-08-20,99.44604629116125,90.78055132773834,107.44673671060083
2007-08-27,99.63227348128322,91.5372969055811,109.04189816244742
2007-09-03,99.56217102398628,90.9836084999395,107.73343490112526
2007-09-10,99.37113765819439,90.32459262444567,108.16751966645855
2007-09-17,99.29067773720602,90.18025448788703,107.46828603465573
2007-09-24,99.24084205294334,90.5622314067107,108.6193642503957
2007-10-01,98.9247929500755,90.34697694074599,107.04232414042455
2007-10-08,98.33240460625272,89.79327730023023,106.365222722422
2007-10-15,97.9052851294329,89.42027609457875,106.34515316025868
2007-10-22,98.01009644541514,89.24329264786164,106.58402225640609
2007-10-29,98.36015004276624,90.27556374066114,106.94493435080663
2007-11-05,98.24850014523875,89.93813288757885,106.73398136363026
2007-11-12,97.46116858227778,89.29192742813382,106.35515401897592
2007-11-19,96.73843754204042,88.03857659203081,104.91378504692813
2007-11-26,97.04061146982345,88.15862226678692,105.54021605190088
2007-12-03,98.34288961240634,90.24940085643796,107.09484534438546
2007-12-10,99.42846639048992,90.76759394076497,107.9839658992465
2007-12-17,99.09732486632092,90.29527327383148,107.60509585725546
2007-12-24,97.5000860056194,88.69176037910533,106.0108587650823
2007-12-31,96.03211250305789,87.24546036552427,104.73903310376144
2008-01-07,95.84038008445177,88.02113253372741,104.43629941591334
2008-01-14,96.63863212968403,87.52337564406263,104.9625821598685
2008-01-21,97.19673817307414,87.46126505102382,105.21362452796198
2008-01-28,96.90092775744513,88.50997052037769,105.47679737378417
2008-02-04,96.5102903747314,88.63058877051725,105.69964138083036
2008-02-11,97.20028977367642,88.5312838395554,106.02930943068193
2008-02-18,99.04154514301325,89.9953978122035,107.96250616667304
2008-02-25,100.74671961126111,91.93722772358548,109.2169888435572
2008-03-03,101.01737188399451,92.22807401659597,109.61753415170494
2008-03-10,99.94257028306265,91.97095455707876,108.5490580102378
2008-03-17,98.86791522205095,89.71952181398873,107.74563968435588
2008-03-24,98.94938499649768,90.53429412608871,108.56411029880569
2008-03-31,100.0626165223465,91.73179046046579,108.46305899321928
2008-04-07,101.19305540005861,92.56039968312083,110.36351464338097
2008-04-14,101.66595015471304,94.13064407768854,110.99838126927223
2008-04-21,101.73359363819064,92.99052477599838,110.2466462365717
2008-04-28,101.99612857476693,93.25639346739361,110.62642766658017
2008-05-05,102.50445163310003,94.11810294119006,111.79087163181558
2008-05-12,102.89532893287777,94.43095873699491,111.66215908392265
2008-05-19,102.88506611281892,94.16784708350635,111.54755784695725
2008-05-26,102.7291158246955,94.4239569434628,111.36146311351571
2008-06-02,102.84074338393371,94.60726925033883,111.04988609471528
2008-06-09,103.19860274923633,94.53743122433391,112.13165034769732
2008-06-16,103.36937091992111,94.48405666210515,112.41041873271303
2008-06-23,103.11068049865699,94.51113898021173,111.15728003066853
2008-06-30,102.73276605677444,94.37025013514663,111.32043492457842
2008-07-07,102.72506531448411,94.30755899939052,111.46540050250053
2008-07-14,103.13418380234808,94.66534068600947,111.68785040970272
2008-07-21,103.5045187366382,95.55448952196934,111.84332913692613
2008-07-28,103.44929651377888,94.66964090471727,111.06306375438159
2008-08-04,103.10612746097446,94.66493263037596,111.72319492907589
2008-08-11,102.91061804070684,94.35185701934311,112.0740554802684
2008-08-18,103.02580648517446,93.32572784423711,111.65867360604099
2008-08-25,103.18398832160919,95.18600374587696,111.78109512880692
2008-09-01,103.10155047284024,94.63593089129984,111.06128709195086
2008-09-08,102.85293715693207,94.4484932608065,111.83266166398444
2008-09-15,102.68874838414611,94.00291602218363,111.51120583775804
2008-09-22,102.59667927292385,93.97883689464611,111.33554184265371
2008-09-29,102.28513883939084,94.10776230089266,110.31653284347543
2008-10-06,101.66092287500568,92.9555771572352,110.25944502602647
2008-10-13,101.10681168962239,92.95584243543243,110.18133274820156
2008-10-20,101.0576372031579,92.3976190036567,109.39937149361847
2008-10-27,101.35587210391927,92.38537589892918,110.35119657998875
2008-11-03,101.31042820082916,92.16641099774286,110.12067188679801
2008-11-10,100.55587852372176,91.94117291392271,109.24961477599207
2008-11-17,99.68207589273783,91.32618560860693,107.78781828901232
2008-11-24,99.70460564407871,91.1092924713685,108.3485262137027
2008-12-01,100.83442451360939,91.72096467754643,109.58019652387382
2008-12-08,102.01093478805522,92.85672359327496,110.10598646863507
2008-12-15,101.91180235973594,93.57931973133712,110.06811684803944
2008-12-22,100.40089389096052,91.0965723324002,109.1523891221367
2008-12-29,98.73748397843153,90.90498205407526,106.92346909236434
2009-01-05,98.23503858402003,89.23575211644686,106.48371370571206
2009-01-12,98.88032312233524,90.09937682537945,107.48982141499751
2009-01-19,99.50527574702593,91.10880723298654,108.20497016047744
2009-01-26,99.28406770952516,91.02500384049287,107.5610477746694
2009-02-02,98.75562676822942,89.88119233370246,106.78918357252851
2009-02-09,99.14311930488032,90.53640400532197,108.29360866646469
2009-02-16,100.78687294267057,91.99790809324806,109.64991213268888
2009-02-23,102.57673487380995,94.21443701599931,111.93959543336985
2009-03-02,103.08790330421802,94.44705670377184,111.5513997375834
2009-03-09,102.11745413651727,93.35670900061169,110.19933693461876
2009-03-16,100.87297748780942,91.55414655847409,108.65872300242735
2009-03-23,100.65816141653178,91.85988177740728,108.74301659799146
2009-03-30,101.5930866911938,93.20439280904856,109.91581675691005
2009-04-06,102.73629296390176,93.95335720731222,110.77913901512902
2009-04-13,103.27452523590253,94.82351783702899,112.42329609219318
2009-04-20,103.30904615970925,94.85530937865232,111.7152670192174
2009-04-27,103.64735499315556,94.84386506999468,112.09437065127253
2009-05-04,104.32157285029324,95.37828736147479,112.48354258742187
2009-05-11,104.9653126544424,96.63675845911284,114.09307558892408
2009-05-18,105.22018241627323,96.74373469028016,113.65930688896583
2009-05-25,105.25277028412198,96.72470609655569,113.59727591529409
2009-06-01,105.49867698080064,97.55837731920617,113.59070568907656
2009-06-08,106.03643630667645,97.5390460337231,114.28718236747002
